ID,ladoMSANLEFT,ladoMSANRIGHT,ladocabeceraLEFT,ladocabeceraRIGHT,"Nombre del cable",Filamento
205,"CP 6413122 FIL 97
FCA ATOSF SPL-1","MSAN 9472-RAHU 1-1-1","MSAN 9472-RAHU 1-1-1
FCA ATOSF SPL-1","CP 6413122 FIL 97",6413122,97
206,"CP 6413122 FIL 98
FCA ATOSF SPL-2","MSAN 9472-RAHU 1-1-2","MSAN 9472-RAHU 1-1-2
FCA ATOSF SPL-2","CP 6413122 FIL 98",6413122,98
207,"CP 6413122 FIL 99
FCA ATOSF SPL-3","MSAN 9472-RAHU 1-1-3","MSAN 9472-RAHU 1-1-3
FCA ATOSF SPL-3","CP 6413122 FIL 99",6413122,99
208,"CP 6413064 FIL 109
FCA RA10F SPL-1","MSAN 9472-RAHU 1-1-4","MSAN 9472-RAHU 1-1-4
FCA RA10F SPL-1","CP 6413064 FIL 109",6413064,109
209,"CP 6413064 FIL 5
FCA RA09F SPL-1","MSAN 9472-RAHU 1-2-1","MSAN 9472-RAHU 1-2-1
FCA RA09F SPL-1","CP 6413064 FIL 5",6413064,5
210,"CP 6413122 FIL 100
FCA ATOSF SPL-4","MSAN 9472-RAHU 1-2-2","MSAN 9472-RAHU 1-2-2
FCA ATOSF SPL-4","CP 6413122 FIL 100",6413122,100
211,"CP 6413064 FIL 110
FCA RA10F SPL-2","MSAN 9472-RAHU 1-2-3","MSAN 9472-RAHU 1-2-3
FCA RA10F SPL-2","CP 6413064 FIL 110",6413064,110
212,"CP 6413064 FIL 6
FCA RA09F SPL-2","MSAN 9472-RAHU 1-2-4","MSAN 9472-RAHU 1-2-4
FCA RA09F SPL-2","CP 6413064 FIL 6",6413064,6
213,"CP 6413064 FIL 7
FCA RA09F SPL-3","MSAN 9472-RAHU 1-3-1","MSAN 9472-RAHU 1-3-1
FCA RA09F SPL-3","CP 6413064 FIL 7",6413064,7
214,"CP 6413064 FIL 111
FCA RA10F SPL-3","MSAN 9472-RAHU 1-3-2","MSAN 9472-RAHU 1-3-2
FCA RA10F SPL-3","CP 6413064 FIL 111",6413064,111
215,"CP 6413120 FIL 2
FCA FRSRF SPL-2","MSAN 9472-RAHU 1-3-3","MSAN 9472-RAHU 1-3-3
FCA FRSRF SPL-2","CP 6413120 FIL 2",6413120,2
216,"CP 6413064 FIL 121
FCA RA10F SPL-4","MSAN 9472-RAHU 1-3-4","MSAN 9472-RAHU 1-3-4
FCA RA10F SPL-4","CP 6413064 FIL 121",6413064,121
217,"CP 6413121 FIL 16
FCA CANCF SPL-108","MSAN 9472-RAHU 1-4-1","MSAN 9472-RAHU 1-4-1
FCA CANCF SPL-108","CP 6413121 FIL 16",6413121,16
218,"CP 6413064 FIL 43
FCA RA08F SPL-101","MSAN 9472-RAHU 1-4-3","MSAN 9472-RAHU 1-4-3
FCA RA08F SPL-101","CP 6413064 FIL 43",6413064,43
219,"CP 6413120 FIL 4
FCA FRSRF SPL-4","MSAN 9472-RAHU 1-5-2","MSAN 9472-RAHU 1-5-2
FCA FRSRF SPL-4","CP 6413120 FIL 4",6413120,4
220,"CP 6413064 FIL 67
FCA RA07F SPL-3","MSAN 9472-RAHU 1-5-3","MSAN 9472-RAHU 1-5-3
FCA RA07F SPL-3","CP 6413064 FIL 67",6413064,67
